ID_MOEDA;DATA_REF;VL_COTACAO
JPY;03/01/2000 00:00:00;5,750944018
JPY;04/01/2000 00:00:00;4,928065956
JPY;05/01/2000 00:00:00;5,145540476
JPY;06/01/2000 00:00:00;2,059095919
JPY;07/01/2000 00:00:00;4,182992578
JPY;10/01/2000 00:00:00;6,530113637
JPY;11/01/2000 00:00:00;4,394817352
JPY;12/01/2000 00:00:00;7,895005524
JPY;13/01/2000 00:00:00;5,674043059
JPY;14/01/2000 00:00:00;2,810624301
JPY;17/01/2000 00:00:00;1,042299032
JPY;18/01/2000 00:00:00;7,235519469
JPY;19/01/2000 00:00:00;6,553624272
JPY;20/01/2000 00:00:00;5,218511522
JPY;21/01/2000 00:00:00;1,428744793
JPY;24/01/2000 00:00:00;5,995859921
JPY;25/01/2000 00:00:00;5,263569713
JPY;26/01/2000 00:00:00;4,86577481
JPY;27/01/2000 00:00:00;2,905656099
JPY;28/01/2000 00:00:00;2,059022486
JPY;31/01/2000 00:00:00;3,342392564
JPY;01/02/2000 00:00:00;4,574374616
JPY;02/02/2000 00:00:00;2,694651604
JPY;03/02/2000 00:00:00;7,697651207
JPY;04/02/2000 00:00:00;1,159660697
JPY;07/02/2000 00:00:00;3,673107326
JPY;08/02/2000 00:00:00;1,496842146
JPY;09/02/2000 00:00:00;3,745913565
JPY;10/02/2000 00:00:00;2,400371671
JPY;11/02/2000 00:00:00;5,544480264
JPY;14/02/2000 00:00:00;1,852205753
JPY;15/02/2000 00:00:00;7,521375477
JPY;16/02/2000 00:00:00;6,299327731
JPY;17/02/2000 00:00:00;5,921586692
JPY;18/02/2000 00:00:00;1,248962641
JPY;21/02/2000 00:00:00;2,496876299
JPY;22/02/2000 00:00:00;1,625510812
JPY;23/02/2000 00:00:00;3,93498081
JPY;24/02/2000 00:00:00;7,982950211
JPY;25/02/2000 00:00:00;2,722403824
JPY;28/02/2000 00:00:00;4,416457534
JPY;29/02/2000 00:00:00;7,909552753
JPY;01/03/2000 00:00:00;2,766998053
JPY;02/03/2000 00:00:00;6,996969283
JPY;03/03/2000 00:00:00;6,462634206
JPY;06/03/2000 00:00:00;7,911403596
JPY;07/03/2000 00:00:00;7,090302944
JPY;08/03/2000 00:00:00;3,790482342
JPY;09/03/2000 00:00:00;2,541811824
JPY;10/03/2000 00:00:00;6,044720352
JPY;13/03/2000 00:00:00;6,32780385
JPY;14/03/2000 00:00:00;5,915626109
JPY;15/03/2000 00:00:00;5,403441072
JPY;16/03/2000 00:00:00;6,498650968
JPY;17/03/2000 00:00:00;7,599556923
JPY;20/03/2000 00:00:00;2,949732125
JPY;21/03/2000 00:00:00;6,50302732
JPY;22/03/2000 00:00:00;7,344179332
JPY;23/03/2000 00:00:00;1,380110502
JPY;24/03/2000 00:00:00;6,406655371
JPY;27/03/2000 00:00:00;1,486505628
JPY;28/03/2000 00:00:00;1,081000268
JPY;29/03/2000 00:00:00;1,857880116
JPY;30/03/2000 00:00:00;5,658649266
JPY;31/03/2000 00:00:00;3,424615741
JPY;03/04/2000 00:00:00;4,934394538
JPY;04/04/2000 00:00:00;5,044523478
JPY;05/04/2000 00:00:00;2,608240664
JPY;06/04/2000 00:00:00;1,797277093
JPY;07/04/2000 00:00:00;1,902103841
JPY;10/04/2000 00:00:00;4,634315491
JPY;11/04/2000 00:00:00;6,110104859
JPY;12/04/2000 00:00:00;7,227963805
JPY;13/04/2000 00:00:00;2,551205814
